,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
181,Collision,2019-03-26 06:39:00,2019-03-26 07:41:00,I-495N north @ MM 52.200,62,4.0
182,Collision,2019-03-26 13:23:00,2019-03-26 14:44:00,I-495N north @ MM 49.000,81,1.0
183,Collision,2019-03-26 16:47:00,2019-03-26 18:48:00,I-495N north @ MM 44.000,121,1.0
184,Collision,2019-03-27 06:47:00,2019-03-27 07:29:00,I-495N north @ MM 54.800,42,1.0
185,Collision,2019-03-27 09:25:00,2019-03-27 10:01:00,I-495N north @ MM 48.200,36,1.0
186,Collision,2019-03-27 09:32:00,2019-03-27 10:24:00,I-495N north @ MM 54.200,52,1.0
187,Collision,2019-03-27 12:18:00,2019-03-27 12:57:00,I-495S south @ MM 42.600,39,1.0
188,Collision,2019-03-27 14:48:00,2019-03-27 16:14:00,I-495S south @ MM 42.300,86,1.0
189,Collision,2019-03-27 15:31:00,2019-03-27 17:40:00,I-495S south @ MM 49.300,129,1.0
190,Collision,2019-03-27 17:45:00,2019-03-27 18:38:00,I-495S south @ MM 46.000,53,1.0
191,Collision,2019-03-27 19:49:00,2019-03-27 20:21:00,I-495S south @ MM 51.200,32,4.0
192,Collision,2019-03-29 15:58:00,2019-03-29 17:06:00,I-495N north @ MM 43.000,68,1.0
193,Collision,2019-03-31 18:01:00,2019-03-31 19:27:00,I-495N north @ MM 44.000,86,1.0
194,Collision,2019-03-01 19:52:00,2019-03-01 21:10:00,I-495N north @ MM 54.000,78,
195,Collision,2019-03-01 21:28:00,2019-03-01 22:24:00,I-495S south @ MM 47.000,56,1.0
196,Collision,2019-01-01 08:16:00,2019-01-01 08:55:00,I-495N north @ MM 47.000,39,
197,Collision,2019-01-01 09:11:00,2019-01-01 10:03:00,I-495S south @ MM 57.000,52,
198,Collision,2019-01-01 12:13:00,2019-01-01 13:31:00,I-495S south @ MM 51.000,78,2.0
199,Collision,2019-01-01 12:45:00,2019-01-01 13:40:00,I-495N north @ MM 50.900,55,1.0
200,Collision,2019-01-02 07:41:00,2019-01-02 08:53:00,I-495N north @ MM 54.000,72,1.0
201,Collision,2019-01-02 08:04:00,2019-01-02 09:04:00,I-495N north @ MM 52.200,60,1.0
202,Collision,2019-01-02 16:22:00,2019-01-02 17:43:00,I-495S south @ MM 49.500,81,1.0
203,Collision,2019-01-02 17:58:00,2019-01-02 18:56:00,I-495S south @ MM 43.000,58,1.0
204,Collision,2019-01-03 11:15:00,2019-01-18 03:41:00,I-495N north @ MM 49.800,21146,1.0
205,Collision,2019-01-03 14:37:00,2019-01-18 03:06:00,I-495S south @ MM 54.000,20909,
206,Collision,2019-01-03 17:37:00,2019-01-03 19:26:00,I-495S south @ MM 48.000,109,1.0
207,Collision,2019-01-04 18:04:00,2019-01-04 18:39:00,I-495S south @ MM 47.000,35,1.0
208,Collision,2019-01-04 20:10:00,2019-01-04 21:30:00,I-495N north @ MM 45.000,80,5.0
209,Collision,2019-01-04 21:39:00,2019-01-04 23:19:00,I-495S south @ MM 42.800,100,2.0
210,Collision,2019-01-05 06:33:00,2019-01-05 08:59:00,I-495S south @ MM 43.000,146,1.0
211,Collision,2019-01-05 16:04:00,2019-01-05 16:50:00,I-495N north @ MM 47.000,46,
212,Collision,2019-01-06 09:24:00,2019-01-06 10:29:00,I-495S south @ MM 45.000,65,1.0
213,Collision,2019-01-06 10:20:00,2019-01-06 11:20:00,I-495N north @ MM 50.000,60,1.0
214,Collision,2019-01-06 12:48:00,2019-01-06 14:21:00,I-495S south @ MM 56.000,93,3.0
215,Collision,2019-01-06 15:33:00,2019-01-06 16:46:00,I-495N north @ MM 51.000,73,2.0
216,Collision,2019-01-07 07:46:00,2019-01-07 08:16:00,I-495S south @ MM 48.900,30,1.0
217,Collision,2019-01-07 19:30:00,2019-01-07 21:05:00,I-495N north @ MM 46.000,95,1.0
218,Collision,2019-01-07 19:43:00,2019-01-07 21:50:00,I-495S south @ MM 52.400,127,3.0
219,Collision,2019-01-08 15:15:00,2019-01-08 15:58:00,I-495S south @ MM 49.500,43,1.0
220,Collision,2019-01-08 15:35:00,2019-01-08 16:24:00,I-495N north @ MM 49.000,49,1.0
221,Collision,2019-01-08 17:32:00,2019-01-08 18:30:00,I-495S south @ MM 49.000,58,1.0
222,Collision,2019-01-08 19:31:00,2019-01-08 20:26:00,I-495S south @ MM 51.000,55,1.0
223,Collision,2019-01-08 20:13:00,2019-01-08 22:02:00,I-495S south @ MM 49.000,109,1.0
224,Collision,2019-01-09 12:58:00,2019-01-09 14:12:00,I-495S south @ MM 48.000,74,1.0
225,Collision,2019-01-09 18:47:00,2019-01-09 19:17:00,I-495S south @ MM 49.000,30,1.0
226,Collision,2019-01-10 06:41:00,2019-01-10 07:18:00,I-495S south @ MM 45.000,37,1.0
227,Collision,2019-01-10 06:54:00,2019-01-10 08:14:00,I-495N north @ MM 53.400,80,1.0
228,Collision,2019-01-10 06:58:00,2019-01-10 07:43:00,I-495S south @ MM 52.400,45,1.0
229,Collision,2019-01-10 07:24:00,2019-01-10 08:16:00,I-495S south @ MM 55.000,52,1.0
230,Collision,2019-01-10 08:59:00,2019-01-10 09:42:00,I-495S south @ MM 54.400,43,1.0
231,Collision,2019-01-10 09:04:00,2019-01-10 10:32:00,I-495N north @ MM 45.500,88,1.0
232,Collision,2019-01-10 09:55:00,2019-01-10 10:37:00,I-495N north @ MM 55.000,42,1.0
233,Collision,2019-01-10 14:41:00,2019-01-10 15:55:00,I-495N north @ MM 42.800,74,2.0
234,Collision,2019-01-10 15:28:00,2019-01-10 16:06:00,I-495N north @ MM 45.600,38,1.0
235,Collision,2019-01-10 16:28:00,2019-01-10 17:12:00,I-495N north @ MM 47.400,44,1.0
236,Collision,2019-01-10 21:28:00,2019-01-10 22:14:00,I-495S south @ MM 56.000,46,4.0
237,Collision,2019-01-11 17:11:00,2019-01-11 17:54:00,I-495S south @ MM 50.100,43,
238,Collision,2019-01-11 17:59:00,2019-01-11 19:08:00,I-495N north @ MM 43.500,69,1.0
239,Collision,2019-01-11 19:07:00,2019-01-11 19:55:00,I-495S south @ MM 52.000,48,1.0
240,Collision,2019-01-11 19:10:00,2019-01-12 07:20:00,I-495S south @ MM 47.400,730,2.0
241,Collision,2019-01-12 10:18:00,2019-01-12 11:14:00,I-495N north @ MM 49.000,56,
242,Collision,2019-01-12 14:08:00,2019-01-12 14:40:00,I-495N north @ MM 52.900,32,1.0
243,Collision,2019-01-13 03:13:00,2019-01-13 04:27:00,I-495S south @ MM 50.000,74,1.0
