,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
86,Collision,2019-04-30 18:04:00,2019-04-30 19:35:00,I-495N north @ MM 44.800,91,1.0
87,Collision,2019-04-30 20:36:00,2019-04-30 21:53:00,I-495S south @ MM 54.000,77,1.0
88,Collision,2019-04-30 22:54:00,2019-04-30 23:46:00,I-495S south @ MM 54.000,52,1.0
89,Collision,2019-04-01 02:48:00,2019-04-01 03:41:00,I-66E east @ MM 56.500,53,2.0
90,Collision,2019-04-01 06:19:00,2019-04-01 07:09:00,I-66E east @ MM 52.800,50,1.0
91,Collision,2019-04-01 09:54:00,2019-04-01 10:32:00,I-66E east @ MM 60.800,38,1.0
92,Collision,2019-04-01 10:03:00,2019-04-01 11:16:00,I-66W west @ MM 53.200,73,1.0
93,Collision,2019-04-01 18:18:00,2019-04-01 18:53:00,I-66E east @ MM 62.000,35,3.0
94,Collision,2019-04-02 07:18:00,2019-04-02 08:53:00,I-66E east @ MM 70.400,95,1.0
95,Collision,2019-04-02 09:58:00,2019-04-02 10:57:00,I-66E east @ MM 74.700,59,1.0
96,Collision,2019-04-02 15:43:00,2019-04-02 17:29:00,I-66W west @ MM 52.700,106,1.0
97,Collision,2019-04-03 06:42:00,2019-04-03 07:28:00,I-66E east @ MM 62.000,46,1.0
98,Collision,2019-04-03 06:49:00,2019-04-03 07:32:00,I-66E east @ MM 57.600,43,1.0
99,Collision,2019-04-03 07:50:00,2019-04-03 09:02:00,I-66E east @ MM 60.000,72,1.0
100,Collision,2019-04-03 12:38:00,2019-04-03 13:28:00,I-66E east @ MM 68.100,50,2.0
101,Collision,2019-04-03 16:01:00,2019-04-03 16:37:00,I-66E east @ MM 74.500,36,2.0
102,Collision,2019-04-03 17:46:00,2019-04-03 18:19:00,I-66W west @ MM 60.000,33,1.0
103,Collision,2019-04-03 19:55:00,2019-04-03 20:54:00,I-66W west @ MM 53.000,59,4.0
104,Collision,2019-04-03 20:56:00,2019-04-03 21:36:00,I-66W west @ MM 53.000,40,1.0
105,Collision,2019-04-04 09:45:00,2019-04-04 10:18:00,I-66E east @ MM 53.800,33,1.0
106,Collision,2019-04-04 13:14:00,2019-04-04 14:28:00,I-66W west @ MM 53.000,74,1.0
107,Collision,2019-04-04 15:56:00,2019-04-04 16:57:00,I-66W west @ MM 53.000,61,1.0
108,Collision,2019-04-04 17:38:00,2019-04-04 18:30:00,I-66E east @ MM 64.000,52,2.0
109,Collision,2019-04-04 18:11:00,2019-04-04 20:53:00,I-66E east @ MM 60.000,162,5.0
110,Collision,2019-04-05 01:12:00,2019-04-05 02:14:00,I-66W west @ MM 68.200,62,3.0
111,Collision,2019-04-05 05:36:00,2019-04-05 06:16:00,I-66E east @ MM 65.000,40,1.0
112,Collision,2019-04-05 12:08:00,2019-04-05 12:42:00,I-66W west @ MM 53.000,34,1.0
113,Collision,2019-04-05 12:32:00,2019-04-05 13:44:00,I-66W west @ MM 54.800,72,2.0
114,Collision,2019-04-05 17:35:00,2019-04-05 20:18:00,I-66E east @ MM 63.700,163,1.0
115,Collision,2019-04-05 19:00:00,2019-04-05 19:48:00,I-66E east @ MM 67.300,48,1.0
116,Collision,2019-04-06 13:25:00,2019-04-06 14:06:00,I-66W west @ MM 53.200,41,1.0
117,Collision,2019-04-06 14:13:00,2019-04-06 15:32:00,I-66E east @ MM 64.000,79,1.0
118,Collision,2019-04-06 15:36:00,2019-04-06 16:21:00,I-66E east @ MM 74.500,45,1.0
119,Collision,2019-04-06 17:33:00,2019-04-06 18:58:00,I-66E east @ MM 54.200,85,3.0
120,Collision,2019-04-06 18:31:00,2019-04-06 19:15:00,I-66W west @ MM 75.000,44,1.0
121,Collision,2019-04-07 11:26:00,2019-04-07 12:07:00,I-66W west @ MM 53.400,41,1.0
122,Collision,2019-04-07 12:01:00,2019-04-07 13:23:00,I-66W west @ MM 69.900,82,1.0
123,Collision,2019-04-07 12:51:00,2019-04-07 14:01:00,I-66W west @ MM 54.000,70,1.0
124,Collision,2019-04-07 16:38:00,2019-04-07 17:36:00,I-66E east @ MM 63.700,58,1.0
125,Collision,2019-04-08 04:47:00,2019-04-08 05:41:00,I-66E east @ MM 53.000,54,6.0
126,Collision,2019-04-08 09:04:00,2019-04-08 09:51:00,I-66W west @ MM 58.000,47,1.0
127,Collision,2019-04-08 09:18:00,2019-04-08 10:01:00,I-66E east @ MM 63.600,43,1.0
128,Collision,2019-04-08 09:41:00,2019-04-08 10:58:00,I-66E east @ MM 64.500,77,1.0
129,Collision,2019-04-08 16:20:00,2019-04-08 16:54:00,I-66W west @ MM 74.700,34,
130,Collision,2019-04-08 16:56:00,2019-04-08 18:15:00,I-66W west @ MM 55.300,79,1.0
131,Collision,2019-04-08 18:49:00,2019-04-08 20:09:00,I-66E east @ MM 69.000,80,1.0
132,Collision,2019-04-08 19:28:00,2019-04-08 20:52:00,I-66W west @ MM 53.000,84,3.0
133,Collision,2019-04-09 06:06:00,2019-04-09 07:09:00,I-66W west @ MM 55.700,63,1.0
134,Collision,2019-04-09 06:52:00,2019-04-09 07:37:00,I-66W west @ MM 53.000,45,1.0
135,Collision,2019-04-09 08:56:00,2019-04-09 09:56:00,I-66E east @ MM 63.700,60,1.0
136,Collision,2019-04-09 09:26:00,2019-04-09 10:06:00,I-66W west @ MM 68.000,40,1.0
137,Collision,2019-04-09 15:13:00,2019-04-09 16:32:00,I-66W west @ MM 62.000,79,1.0
138,Collision,2019-04-09 19:44:00,2019-04-09 21:16:00,I-66E east @ MM 69.300,92,2.0
139,Collision,2019-04-09 21:38:00,2019-04-09 23:13:00,I-66W west @ MM 60.000,95,4.0
140,Collision,2019-04-10 08:35:00,2019-04-10 10:02:00,I-66W west @ MM 57.000,87,1.0
141,Collision,2019-04-10 08:39:00,2019-04-10 09:54:00,I-66E east @ MM 57.100,75,1.0
142,Collision,2019-04-10 12:38:00,2019-04-10 14:17:00,I-66E east @ MM 63.600,99,1.0
143,Collision,2019-04-10 14:15:00,2019-04-10 15:37:00,I-66E east @ MM 52.000,82,2.0
